id,title,content,picture,planted_at,user_id,prefecture_id
1,苺,一見して種子に見える一粒一粒の痩果(そうか）が付いた花托（花床ともいう）部分が食用として供される。,./db/fixtures/image/ichigo01.jpg,2020/06/01,1,8
2,苺,甘みがあるため果物として位置づけられることが多いが、草本性の植物であるので野菜として扱われることもある。,./db/fixtures/image/ichigo02.jpg,2020/06/01,2,9
3,胡瓜,キュウリは、つるを伸ばしながら果実をつけるという、栄養生長と生殖生長を同時に行う。元来、つるは地を這って伸びて、葉腋の節から巻きひげが伸びて他物にからんで躰を支える。,./db/fixtures/image/kyuuri01.jpg,2020/03/01,3,10
4,胡瓜,インド原産、またはヒマラヤ山麓が原産とされる、一年生のつる性の植物である。広く畑で栽培されている。,./db/fixtures/image/kyuuri02.jpg,2020/03/01,4,11
5,胡瓜,果実色は濃緑が一般的だが、淡緑や白のものもある。果実の表面に白い粉が吹いたようにも見えるろう状の物質はブルームで、水分の蒸発を防ぎ、果実の皮を保護する役割がある。,./db/fixtures/image/kyuuri03.jpg,2020/03/01,5,12
6,トマト,日本では冬に枯死する一年生植物であるが、熱帯地方などでは多年生であり適切な環境の下では長年月にわたって生育し続け、延々と開花と結実を続けることができる。,./db/fixtures/image/tomato01.jpg,2020/03/01,6,13
7,トマト,各節位からは側枝が発生する。側枝では5葉目と6葉目に花房が付き、その後は3葉おきに花房を付けるが、側枝は栽培管理上、除去される事が多い。,./db/fixtures/image/tomato02.jpg,2020/03/01,1,14
8,トマト,適温は昼温20 / 25 ℃、夜温10 / 20 ℃とされる。気温が30 ℃を超えた環境では花粉稔性の低下により着果障害や不良果が増加し、最低気温が5 / 10 ℃を下回ると障害を受ける。,./db/fixtures/image/tomato03.jpg,2020/03/01,2,8
9,茄子,世界の各地で独自の品種が育てられている。賀茂茄子などの一部、例外もあるが、日本においては南方ほど長実または大長実で、北方ほど小実品種となる。,./db/fixtures/image/eggplant01.jpg,2020/02/01,3,9
10,茄子,収穫の作業性向上や実に傷がつくという理由から棘の無い品種も開発されている。,./db/fixtures/image/eggplant02.jpg,2020/02/01,4,10
11,茄子,果肉は密度が低くスポンジ状である。ヘタの部分には鋭いトゲが生えている場合がある。新鮮な物ほど鋭く、鮮度を見分ける方法の一つとなるが、触った際にトゲが刺さり怪我をすることがある。,./db/fixtures/image/eggplant03.jpg,2020/02/01,5,11
12,茄子,基本は「三本仕立て」である。一番花のすぐ下2つのわき芽を残し、他のわき芽はすべて摘み取る。原産がモンスーン気候地帯であることから、蒸し暑い日本の夏を好む。,./db/fixtures/image/eggplant04.jpg,2020/02/01,6,12
13,ピーマン,ピーマンそのものはトウガラシの品種の一つであり、果実は肉厚でカプサイシンを含まない。,./db/fixtures/image/paprika01.jpg,2020/02/01,1,13
14,ピーマン,日本では5月頃に植え付けされ7月から10月頃にかけて収穫されるのが一般的である。,./db/fixtures/image/paprika02.jpg,2020/02/01,2,14
15,ラズベリー,ヨーロッパ原産、及び彼らが進出した先、特に北米大陸原産の野生種がヨーロッパ系を中心とする人々によって、盛んに交配、品種改良を施されて果樹としての栽培品種群を生み出してきた。,./db/fixtures/image/raspberry01.jpg,2020/03/01,3,8
16,ラズベリー,栽培においては最も簡単な部類に入る果樹である。 苗木も簡単に入手でき、様々な土壌に対応する。 ただしコガネムシの食害による枯死や地下茎による過度の繁殖に気をつけるべきである。,./db/fixtures/image/raspberry02.jpg,2020/03/01,4,9
17,ラズベリー,品種により鮮やかな赤色や紫、黒紫色で直径1 / 2センチメートル程度の果実をつけ、優れた風味・甘味・酸味がありジャムや洋菓子、ハーブティー、リキュールなどによく用いられる。,./db/fixtures/image/raspberry03.jpg,2020/03/01,5,10
18,唐辛子,唐辛子（とうがらし、唐芥子、蕃椒）は、中南米を原産とする、ナス科トウガラシ属 (Capsicum) の果実あるいは、それから作られる辛味のある香辛料である。,./db/fixtures/image/chilli01.jpg,2020/02/01,6,11
19,唐辛子,トウガラシ属は中南米が原産地であり、メキシコでの歴史は紀元前6000年に遡るほど非常に古い。,./db/fixtures/image/chilli02.jpg,2020/02/01,1,12
